,period_d,rp_re,insol_eflux,eq_temp,teff_k,logg_cgs,rstar_rsun,ra_deg,dec_deg,mission,label,star_key
2344,7.6943096,,925.441,1536.0,4956.8,,,212.846611,-50.069977,TESS,,212.84661_-50.06998
2345,2.4763492,4.72716,14633.4,3064.0,8749.3,,2.14,155.59062,-63.65462,TESS,,155.59062_-63.65462
2346,17.1725007,9.89011,107.942,897.0,6617.0,4.21,1.41,207.584824,-23.383379,TESS,,207.58482_-23.38338
2347,30.7864669,23.8125,112.151,861.0,6101.8,,2.05,148.390562,-58.376077,TESS,,148.39056_-58.37608
2348,7.5043829,,177.5290293,930.973018,8613.8,,,144.023758,-51.744648,TESS,,144.02376_-51.74465
2349,2.5861465,11.9748,271.803,1131.0,5635.4,3.71,2.33,185.331855,-14.062379,TESS,,185.33186_-14.06238
2350,3.1056464,13.2277,949.504,1546.0,7804.8,3.78,4.44,143.466387,-53.561643,TESS,,143.46639_-53.56164
2351,1.8359766,5.11603,573.168,1363.0,6311.5,4.17,1.61,181.632505,-31.645713,TESS,,181.6325_-31.64571
2352,7.2133579,21.2234,271.595,,5843.0,4.33,1.16,156.995108,-48.428547,TESS,,156.99511_-48.42855
2353,2.7435213,22.0496668,22630.1553062,3128.1792663,7896.3,3.6,3.9611499,128.181355,-58.575511,TESS,,128.18136_-58.57551
2354,,15.7171,194.656,1040.0,7043.2,3.98,2.46,201.527127,-27.41256,TESS,,201.52713_-27.41256
2355,17.3057923,12.4978402,525.9409472,1221.3889754,6995.5,4.1,2.2275901,164.031654,-43.376697,TESS,,164.03165_-43.3767
2356,,3.1563904,1.4952399,282.0314027,5249.0,4.48682,0.895408,209.858415,74.151228,TESS,,209.85842_74.15123
2357,1071.0898448,2.2407785,1.3880259,276.8338183,4755.33,4.62683,0.701499,16.908292,22.952868,TESS,,16.90829_22.95287
2358,5.8492379,1.18919,389.669,1237.0,6461.8,4.35,1.33,87.401782,-54.910423,TESS,,87.40178_-54.91042
2359,6.8161105,2.98458,86.7877,850.0,5175.0,4.54,0.84,246.797267,42.687767,TESS,,246.79727_42.68777
2360,2.4590369,2.74738,301.374,1160.0,5175.0,4.54,0.84,246.797267,42.687767,TESS,,246.79727_42.68777
2361,25.3369848,3.23582,25.3267,624.0,5175.0,4.54,0.84,246.797267,42.687767,TESS,,246.79727_42.68777
2362,1.7386695,9.455763,418.9214934,1153.8594476,4746.0,4.52746,0.820258,15.52504,-59.087724,TESS,,15.52504_-59.08772
2363,11.1900486,1.6608182,31.192573,602.7435196,4958.0,4.66667,0.695992,232.863345,33.902516,TESS,,232.86334_33.90252
2364,7.1925327,2.5719,75.7071,821.0,5050.0,4.59,0.77,5.469534,66.168119,TESS,,5.46953_66.16812
2365,1.3254567,14.4076,776.933,1470.0,5778.0,3.74,2.29,349.672086,68.299217,TESS,,349.67209_68.29922
2366,5.7156075,13.6015651,503.1185454,1207.9176608,6664.0,4.44,1.18444,331.117808,81.565951,TESS,,331.11781_81.56595
2367,17.0096703,13.5294,63.3708,,6542.0,,1.5,333.311732,81.739729,TESS,,333.31173_81.73973
2368,18.8243063,8.51397,90.9855,860.0,7014.0,4.05,1.95,17.680098,65.249648,TESS,,17.6801_65.24965
2369,8.51226,5.90105,872.772,,9387.0,,2.35,17.73671,61.092107,TESS,,17.73671_61.09211
2370,1.261045,4.24615,1770.66,1807.0,6549.0,3.89,2.18,233.014923,24.085016,TESS,,233.01492_24.08502
2371,11.1516668,2.91771,206.982,1056.0,6319.0,4.38,1.19,234.861293,55.153498,TESS,,234.86129_55.1535
2372,5.5470937,2.8717764,464.0413077,1183.747051,6319.0,4.38,1.1913199,234.861293,55.153498,TESS,,234.86129_55.1535
2373,3.7321195,19.158,5711.67,2421.0,6570.0,3.68,2.8,293.914601,81.554791,TESS,,293.9146_81.55479
2374,11.2479927,4.96692,106.719,895.0,6308.0,4.19,1.48,307.022746,61.871411,TESS,,307.02275_61.87141
2375,43.8297863,2.8243863,15.6569489,507.3369958,5605.0,4.39973,1.03654,12.97601,-59.343647,TESS,,12.97601_-59.34365
2376,3.8608551,11.2224,163.361,995.0,5019.0,4.43,0.92,352.27473,71.506474,TESS,,352.27473_71.50647
2377,12.0135752,3.7307,143.432,964.0,6178.0,4.33,1.23,0.977557,59.334681,TESS,,0.97756_59.33468
2378,9.07763,12.6842,388.441,1236.0,6125.9,4.03,1.72,1.119248,54.934497,TESS,,1.11925_54.9345
2379,5.30329,11.7443,473.142,1299.0,6054.7,3.41,3.48,346.90982,56.694513,TESS,,346.90982_56.69451
2380,4.2529842,2.26991,636.914,1399.0,6222.5,4.06,1.45,7.975464,-56.965081,TESS,,7.97546_-56.96508
2381,13.5970194,2.03572,41.8338,708.0,5985.0,4.59,0.88,323.908297,65.437536,TESS,,323.9083_65.43754
2382,1.1633325,5.5717234,102177.3532273,4559.9324771,11265.0,4.07,2.61707,336.295039,67.971168,TESS,,336.29504_67.97117
2383,4.6981739,31.434,1344.6,,6782.0,,1.61,324.238857,69.283946,TESS,,324.23886_69.28395
2384,10.2207,2.95608,226.74,1081.0,6748.7,4.13,1.72,2.599567,58.489439,TESS,,2.59957_58.48944
2385,5.5986337,9.9822897,482.2991657,1195.2228223,6081.3,,1.83732,226.116513,28.215715,TESS,,226.11651_28.21572
2386,21.07626,11.6504,31.6166,660.0,7577.0,3.9,2.46,331.70177,63.599044,TESS,,331.70177_63.59904
2387,,10.443271,352.5989492,1105.1977778,5701.43,3.56597,2.7564499,192.577265,26.159536,TESS,,192.57726_26.15954
2388,8.8128067,2.33219,52.4568,749.0,5491.0,4.5359,0.88,167.865299,71.540754,TESS,,167.8653_71.54075
2389,5.9214229,1.0470381,122.1004834,847.8110943,5268.0,4.56138,0.823126,245.728968,61.694836,TESS,,245.72897_61.69484
2390,6.3839247,2.2843976,301.4805095,1062.7584328,5849.0,4.33017,1.16353,219.043374,68.940695,TESS,,219.04337_68.9407
2391,5.6739336,2.587582,265.3024804,1029.3310585,5873.3,4.46212,1.00286,256.601181,57.661033,TESS,,256.60118_57.66103
2392,3.167981,,31.7519,661.0,3546.0,4.93943,,173.986546,75.546629,TESS,,173.98655_75.54663
2393,53.1991439,2.8396233,16.568599,514.56613,5729.0,4.32178,1.15632,209.882326,58.93291,TESS,,209.88233_58.93291
2394,177.5830512,3.5953731,9.1603487,443.7085028,6594.0,4.16825,1.59978,218.184395,43.756428,TESS,,218.1844_43.75643
2395,4.7981694,2.3133532,47.3415434,669.0065237,4065.0,4.59496,0.667797,210.044615,38.705641,TESS,,210.04462_38.70564
2396,6.1155829,1.56167,152.993,979.0,5284.0,4.54246,0.85,244.376954,68.894664,TESS,,244.37695_68.89466
2397,1.4923179,1.2607994,84.6732757,773.6710387,3577.0,4.75448,0.480553,185.338193,57.752364,TESS,,185.33819_57.75236
2398,9.3174113,2.0623382,7.3649163,420.1570972,3577.0,4.75448,0.480553,185.338193,57.752364,TESS,,185.33819_57.75236
2399,22.4586196,2.1229458,33.8973151,615.4050768,5493.0,4.43001,0.978381,53.28158,-72.744051,TESS,,53.28158_-72.74405
2400,63.5809449,3.0597346,3.1507778,339.8006415,4868.0,4.61964,0.72252,250.382981,80.04588,TESS,,250.38298_80.04588
2401,5.1097197,1.3996848,21.5855207,549.743853,3742.0,4.72382,0.515547,264.302263,53.025567,TESS,,264.30226_53.02557
2402,30.2004765,2.6056,33.1236,668.0,6004.0,4.36245,1.15,241.581203,53.514641,TESS,,241.5812_53.51464
2403,17.969639,3.0570342,14.1574455,494.7274115,4410.0,4.507,0.767286,284.767733,60.154455,TESS,,284.76773_60.15446
2404,,3.4610442,1.4046835,277.6606693,5134.0,4.57244,0.799051,152.223473,70.394557,TESS,,152.22347_70.39456
2405,41.7540004,2.75297,7.9761,468.0,5337.0,4.48036,0.91,285.921685,65.785672,TESS,,285.92169_65.78567
2406,20.261655,2.4206095,30.2935939,598.3529678,5337.0,4.48036,0.914083,285.921685,65.785672,TESS,,285.92169_65.78567
2407,,2.2664482,7.6309448,423.9008895,5647.0,4.48001,0.953815,208.052955,75.165261,TESS,,208.05296_75.16526
2408,49.9950015,2.65286,5.92112,434.0,5274.27,4.61038,0.78,267.307163,54.415932,TESS,,267.30716_54.41593
2409,4.3794298,2.3149088,120.9359556,845.782334,4892.0,4.50955,0.742779,19.394178,-66.903066,TESS,,19.39418_-66.90307
2410,230.92212,3.6785805,10.5095659,459.2148716,6395.0,3.89312,2.1204,276.394048,64.636881,TESS,,276.39405_64.63688
2411,177.2188871,2.0323111,3.4452852,347.4769843,5809.0,4.33351,1.15025,263.852071,64.380132,TESS,,263.85207_64.38013
2412,4.3032642,2.66568,195.793,1042.0,5468.73,4.37458,1.05,212.547487,45.563868,TESS,,212.54749_45.56387
2413,53.8108713,2.2249096,3.0646979,337.4556203,4455.0,4.55621,0.730261,302.737523,70.869653,TESS,,302.73752_70.86965
2414,18.7931749,1.7151271,1.8563658,297.7046646,3457.0,4.84825,0.376775,254.142533,70.027316,TESS,,254.14253_70.02732
2415,,2.4661884,13.8234959,491.7838032,7788.0,4.32577,1.5457799,254.455649,68.699581,TESS,,254.45565_68.69958
2416,9.0105414,2.1513682,3.3568205,345.2246743,3275.0,4.438,0.330146,88.96184,-73.985288,TESS,,88.96184_-73.98529
2417,23.6573994,3.0681221,23.5564568,561.884745,5535.0,4.57126,0.846615,205.59347,76.647981,TESS,,205.59347_76.64798
2418,9.0753271,2.5831328,122.8680194,849.1403218,5619.0,4.44,0.997589,266.13371,54.090971,TESS,,266.13371_54.09097
2419,6.7060238,2.12647,100.7791488,808.0950027,5292.0,4.58201,0.807811,253.442793,65.293961,TESS,,253.44279_65.29396
2420,,3.219425,0.4927756,213.6889395,5292.0,4.58201,0.807811,253.442793,65.293961,TESS,,253.44279_65.29396
2421,2.6620728,1.2172175,267.4349792,1031.3932912,4884.0,4.54,0.799716,239.016918,73.07392,TESS,,239.01692_73.07392
2422,20.2926468,1.7004976,17.826244,524.0644631,4884.0,4.54,0.799716,239.016918,73.07392,TESS,,239.01692_73.07392
2423,3.2723118,1.46772,133.517,947.0,4907.0,4.62,0.72,151.612215,83.08784,TESS,,151.61222_83.08784
2424,5.904369,1.35959,85.3357,846.0,4907.0,4.62,0.72,151.612215,83.08784,TESS,,151.61222_83.08784
2425,15.1808746,1.86864,18.1396,574.0,4907.0,4.62,0.72,151.612215,83.08784,TESS,,151.61222_83.08784
2426,1.9803146,1.16969,301.491,1160.0,4907.0,4.62,0.72,151.612215,83.08784,TESS,,151.61222_83.08784
2427,9.56111,1.6790876,40.5800926,643.7214903,4907.0,4.62,0.723757,151.612215,83.08784,TESS,,151.61222_83.08784
2428,15.9152686,2.2277479,23.4115602,561.0187018,4718.0,4.49012,0.821067,181.064438,83.438034,TESS,,181.06444_83.43803
2429,6.8019625,29.3148832,501.9413628,1207.2104771,6300.0,4.22,1.42268,247.481601,21.495162,TESS,,247.4816_21.49516
2430,6.5638575,7.6270781,239.5709931,1003.4097296,5873.97,4.35182,1.08871,110.279707,-68.578366,TESS,,110.27971_-68.57837
2431,14.0120582,4.4835127,335.0295174,1091.1652269,7184.0,4.25,1.58046,343.854335,70.29729,TESS,,343.85434_70.29729
2432,155.8237,5.5521957,156.5032302,902.0914695,7184.0,4.25,1.58046,343.854335,70.29729,TESS,,343.85434_70.29729
2433,6.2099619,14.369,1293.02,1670.0,6382.0,3.9,2.1,261.096395,33.205073,TESS,,261.09639_33.20507
2434,0.3352715,4.4688,11198.5149308,2623.6739175,3332.0,4.94964,0.3,22.550024,-59.583246,TESS,,22.55002_-59.58325
2435,2.3195654,12.4030722,195.4879901,953.6736208,4325.66,4.438,0.628365,263.944366,36.196492,TESS,,263.94437_36.19649
2436,10.3088514,4.0217464,66.7917777,729.1224998,5432.0,4.56341,0.843702,243.940883,17.023904,TESS,,243.94088_17.0239
2437,23.5199045,2.30502,10.453,500.0,4566.4,4.93,0.67,38.887291,-71.624247,TESS,,38.88729_-71.62425
2438,7.7565534,1.1359985,37.2050274,629.8978948,4566.4,4.93,0.672062,38.887291,-71.624247,TESS,,38.88729_-71.62425
2439,3.8266587,2.4536347,81.1071602,765.3931102,4175.0,4.54,0.716312,261.243831,32.798397,TESS,,261.24383_32.7984
2440,14.1502269,18.6317683,34.4595552,617.9412206,4882.0,4.45655,0.873952,274.143956,34.173012,TESS,,274.14396_34.17301
2441,18.5537012,1.57606,25.0891,623.0,5346.2,4.6,0.8,99.458741,-70.931327,TESS,,99.45874_-70.93133
2442,9.695961,0.808552,66.2914,794.0,5346.2,4.6,0.8,99.458741,-70.931327,TESS,,99.45874_-70.93133
2443,9.3004351,1.5550304,4.6279256,374.0815959,3472.0,4.86042,0.363966,267.046624,15.980109,TESS,,267.04662_15.98011
2444,5.5899401,12.1202,1816.63,1818.0,7437.0,4.09,1.95,62.572982,75.170931,TESS,,62.57298_75.17093
2445,37.3415931,2.1417,12.9381,528.0,5452.0,4.53224,0.88,350.25314,79.441782,TESS,,350.25314_79.44178
2446,26.2049782,10.15497,68.292759,733.1847347,6115.0,4.25,1.3363301,155.641594,83.083724,TESS,,155.64159_83.08372
2447,0.5842495,5.50799,1217.74,1645.0,6020.0,4.18,1.34,285.596508,42.507414,TESS,,285.59651_42.50741
2448,26.2851404,3.082863,29.1144876,592.4436342,5821.0,4.44094,0.96445,7.318008,-63.790623,TESS,,7.31801_-63.79062
2449,10.0509704,13.5943,263.046,1121.0,5844.0,4.16,1.41,264.45404,47.230289,TESS,,264.45404_47.23029
