,star_key
788,296.35867_39.11519
789,296.35867_39.11519
790,296.35867_39.11519
791,284.79102_45.22899
793,291.02185_37.76979
796,286.91711_38.87222
797,293.59583_39.02948
798,298.34421_45.40992
799,300.51712_44.38158
800,284.67728_44.79768
801,297.11511_41.90914
802,284.67728_44.79768
803,284.67728_44.79768
804,284.67728_44.79768
805,285.61746_39.37953
806,292.27612_39.55018
807,284.58255_39.22021
808,285.96786_45.73907
809,293.17416_45.52123
810,294.79001_45.39162
811,295.92609_45.38386
813,293.64841_38.97602
816,295.21664_38.77433
817,286.58316_39.0772
818,293.37225_44.78514
819,293.37225_44.78514
820,296.71735_44.57966
821,286.96683_44.99249
823,297.71185_45.26192
824,296.43408_39.44407
825,290.47742_39.73201
826,294.7699_39.39851
827,294.7699_39.39851
828,287.05453_45.18037
829,294.4639_49.76504
831,287.45279_45.7044
832,285.98865_45.37781
834,286.58316_39.0772
835,288.1337_38.99688
836,290.86142_38.64113
837,291.01904_38.54557
839,287.99789_50.94433
840,296.00711_44.85347
842,297.11511_41.90914
843,291.63699_47.83234
844,298.25803_48.21736
845,282.23273_48.2712
847,284.86014_39.24055
849,291.61008_42.75976
850,293.02036_42.50884
851,292.7399_42.3594
852,285.24667_45.95019
853,285.43552_45.97602
854,291.07468_45.24258
855,285.34583_45.36778
856,285.34583_45.36778
857,285.34583_45.36778
859,290.10718_38.70223
860,290.10718_38.70223
861,292.4968_39.19317
862,293.8129_42.04871
863,291.98694_42.03765
864,289.02017_48.11981
865,297.71039_48.08383
866,296.71634_48.21126
867,290.29385_47.96759
868,294.0217_48.39042
869,296.93268_48.26649
871,286.30026_42.37483
873,294.09109_42.49146
874,297.46533_42.88284
875,297.46533_42.88284
876,294.21893_49.47922
877,301.26144_45.10489
878,293.38153_48.82476
880,284.98886_49.62606
881,298.76062_48.60018
882,295.86691_42.06267
884,298.09171_41.79413
885,287.99789_50.94433
886,288.03989_41.81836
888,297.116_47.73795
889,296.83725_48.23994
890,297.11511_41.90914
892,289.79077_48.44814
893,298.80545_42.39584
894,294.96606_42.70857
895,295.8255_42.94339
896,287.05173_40.21155
897,285.41196_48.72523
898,286.54001_49.43733
899,286.54001_49.43733
900,294.21893_49.47922
901,297.33563_41.89048
902,281.74261_42.12308
903,297.88437_41.93125
907,293.61371_47.839
908,293.61371_47.839
909,293.2822_48.2859
910,291.59409_48.44561
911,293.14648_47.72965
912,295.8255_42.94339
913,295.8255_42.94339
914,295.8255_42.94339
915,291.02069_42.46244
916,286.54001_49.43733
917,284.25131_48.80961
918,292.32858_49.65354
920,283.20917_48.77764
925,294.58929_41.94438
926,297.20895_41.78171
927,293.14648_47.72965
929,297.11511_41.90914
930,296.61487_48.08264
931,297.79691_39.92137
932,288.82291_40.38905
934,299.2475_46.95191
935,291.23883_40.16351
936,290.82602_44.18411
938,295.02167_46.61922
939,293.57776_46.73634
940,294.16882_46.71461
941,292.35394_46.22628
942,288.23666_46.60592
945,289.95078_50.65725
946,294.44177_40.55759
947,294.44177_40.55759
948,294.44177_40.55759
950,294.44177_40.55759
951,290.05112_46.71337
952,298.96255_40.63066
955,291.40555_40.12549
956,293.64417_46.98976
957,294.78915_46.98399
958,288.25458_43.70487
962,295.45715_50.07717
963,297.66452_43.24896
964,296.82291_48.10755
965,289.60678_39.93833
966,295.04639_46.97459
967,295.18561_46.78671
968,296.03342_40.01961
969,299.556_40.45655
970,298.3949_40.62891
972,285.47659_41.63272
973,284.73859_47.16963
974,290.35803_40.56774
975,295.32251_39.37649
976,294.32635_47.21761
977,283.62885_48.391
979,284.27396_41.53502
980,295.21661_50.08433
981,297.04651_49.97039
984,297.72427_43.52743
985,297.72427_43.52743
986,299.22433_40.34318
987,299.22433_40.34318
988,299.22433_40.34318
989,299.22433_40.34318
991,289.50635_45.371
992,296.04736_42.74301
993,298.5892_40.75069
994,298.11121_41.75833
995,293.60126_42.37976
996,292.87616_48.19531
997,291.26974_42.09604
998,295.52521_46.45943
1000,291.23114_50.56702
1001,299.07813_44.29379
1002,287.28531_51.24998
1003,291.0838_40.35525
1004,296.33319_40.89626
1005,299.14142_40.7259
1008,297.58313_41.95243
1009,297.58313_41.95243
1011,284.87997_49.26699
1012,290.41199_44.89933
1013,291.74838_39.44688
